"Self";"Lag0";"Lag1";"Lag2";"Lag3";"Lag4";"Lag5";"Lag6";"Lag7";"Lag8";"Lag9";"Lag10"
1;-0,71;-0,21;0,22;-0,05;-0,04;-0,13;-0,15;-0,03;-0,27;-0,04;0,08
1;-0,41;-0,14;0,14;-0,01;-0,2;-0,12;-0,02;-0,06;-0,23;-0,05;-0,08
1;0,13;0,12;0,15;0,14;0,11;0,14;0,11;0,08;0,06;0,08;0,11
1;0,2;0,19;0,22;0,2;0,19;0,21;0,2;0,21;0,21;0,19;0,18
1;0,09;0,09;0,13;0,14;0,08;0,1;0,07;0,08;0,12;0,12;0,1
1;0,06;0,1;0,11;0,11;0,06;0,08;0,05;0,07;0,13;0,14;0,1
1;0,22;0,12;0,27;0,15;0,22;0,27;0,17;0,24;0,27;0,2;0,25
1;0,21;0,12;0,2;0,24;0,21;0,19;0,25;0,24;0,21;0,22;0,28
